Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement
春锦赛14.txt,Comment_04_004,Comment,rey,2025-03-22湖北,我的老天爷周末这么多人呐,
春锦赛14.txt,Comment_04_006,Comment,,2025-03-23山东,全网三百泳丝一半在这,
春锦赛14.txt,Comment_04_008,Comment,,2025-03-23四川,这么多人？？？？,
春锦赛14.txt,Comment_04_010,Comment,,2025-03-23山东,们泳人也是走起红毯来了,
春锦赛14.txt,Comment_04_012,Comment,,2025-03-23山东,在红毯里面哈哈哈哈哈,
春锦赛14.txt,Comment_04_014,Comment,解星却,2025-03-23山东,作者 粉丝们还一直喊“xx看这边看这边”给他们咔嚓咔嚓拍照，好像红毯记者,
春锦赛14.txt,Comment_04_016,Comment,我是一棵树,2025-03-23广东,@碳酸锂锂 好像地狱西,
春锦赛14.txt,Comment_04_018,Comment,碳酸锂锂,2025-03-23广东,比地狱西还夸张,
春锦赛14.txt,Comment_04_021,Comment,,2025-03-22上海,蹲一个,
春锦赛14.txt,Post_05,Post,8,编辑于 2025-03-23,说点什么 53 8 18 DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 人生体验2 DouBle_61 21 仅自己可见 要允许一部分人先chill起来 DouBle_61 7 仅自己可见 You know what Im saying DouBle_61 6 仅自己可见 满船清梦压星河 DouBle_61 10 仅自己可见 拼好大型活动的最后一片拼图 DouBle_61 4 仅自己可见 拿完国奖准备考研 DouBle_61 17 2025322 春锦预赛 沈加豪上下班 吃个欧包（见过章昊版） 8 董志豪 春锦赛 吃个欧包（见过章昊版） 14 春锦赛23号 有没有蹲中午下班的呀#游泳 #春锦赛 椰 蓉 2 游泳春锦赛下班红毯实时播报1 解星却 53 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛 koko丶 65 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 0322 春锦赛 马福晶决赛下班 吃个欧包（见过章昊版） 3 0322 吴卿风预赛下班 吃个欧包（见过章昊版） 25 0322 郑英昊预赛下班 吃个欧包（见过章昊版） 34 0323 柯雯曦决赛下班 吃个欧包（见过章昊版） 127 0322 王长浩决赛下班 吃个欧包（见过章昊版） 42 0323 邱天预赛下班 吃个欧包（见过章昊版） 52 发现 发布 通知 我 koko丶 关注 00010032 倍速 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛,
春锦赛14.txt,Comment_05_001,Comment,Sophie,2025-03-23河北,黑皮小猪：海哥救救我救救我救救我,
春锦赛14.txt,Comment_05_002,Comment,回复,2025-03-23山东,Butterfly 霏来的蝶 我看到今天晚上的人我都惊呆了，好多人！以为他们不会从这边过了，但每个人都签的好认真啊,
